Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,6,1,2,0.87
0,20,1,6,0.81
0,10,1,5,0.79
0,5,1,2,0.77
0,8,1,2,0.75
0,17,2,8,0.7
0,9,1,3,0.69
0,17,2,9,0.66
0,16,1,3,0.62
0,51,3,23,0.53
0,18,1,7,0.5
0,13,1,6,0.48
0,13,1,4,0.46
0,7,1,4,0.46
0,15,1,3,0.44
0,8,1,5,0.44
1,38,3,7,0.4
1,51,4,6,0.37
1,25,2,6,0.36
0,16,1,4,0.34
0,19,2,3,0.33
0,10,1,5,0.32
0,27,1,8,0.3
1,27,3,6,0.29
9,241,15,22,0.22
0,30,1,4,0.22
0,9,1,4,0.21
0,14,1,2,0.21
1,20,2,5,0.2
0,56,5,12,0.19
2,67,6,18,0.18
0,5,1,2,0.18
1,227,15,18,0.14
1,33,4,2,0.14
0,21,3,5,0.14
1,65,7,8,0.13
0,28,3,5,0.13
0,43,5,9,0.13
0,32,4,6,0.13
1,20,2,4,0.13
1,50,6,10,0.12
0,61,3,11,0.12
1,66,6,10,0.11
1,33,4,8,0.11
0,20,3,8,0.11
0,70,7,7,0.1
0,14,2,4,0.1
0,20,3,7,0.1
0,20,3,7,0.1
0,98,8,8,0.1
1,38,5,7,0.09
0,7,1,3,0.09
0,11,1,4,0.09
0,17,2,6,0.09
0,49,5,10,0.09
0,50,4,7,0.09
0,20,2,6,0.09
1,61,4,6,0.09
1,35,3,8,0.09
0,97,3,19,0.08
0,7,1,2,0.08
0,17,1,4,0.08
0,140,0,27,0.08
1,159,0,31,0.07
0,143,1,25,0.07
0,54,1,17,0.07
0,16,1,2,0.07
0,69,1,15,0.07
1,152,0,38,0.06
2,179,2,34,0.06
0,12,1,5,0.06
0,11,1,2,0.06
0,86,1,21,0.06
1,236,1,31,0.05
0,90,1,15,0.05
3,171,2,13,0.05
0,122,1,13,0.05
0,145,0,35,0.05
0,22,1,5,0.05
0,132,2,16,0.05
0,36,2,7,0.05
0,79,1,11,0.05
0,18,1,3,0.05
0,243,3,37,0.04
0,20,1,5,0.04
2,104,2,18,0.04
0,111,3,14,0.04
0,23,1,4,0.04
1,23,2,4,0.04
1,21,2,4,0.04
0,17,2,4,0.04
0,9,1,3,0.04
0,19,2,3,0.04
0,28,3,7,0.04
1,32,3,5,0.04
0,14,2,5,0.04
0,14,2,3,0.04
1,28,3,4,0.04
0,32,3,9,0.04
0,8,1,3,0.04
0,34,4,5,0.04
0,14,2,5,0.04
0,15,2,6,0.04
0,15,2,8,0.04
0,17,2,5,0.04
0,7,1,4,0.04
0,6,1,4,0.04
0,8,1,3,0.04
0,8,1,1,0.04
