Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,12,1,6,0.86
0,9,1,7,0.82
0,11,1,6,0.79
0,11,1,4,0.75
0,20,2,7,0.69
0,6,1,3,0.68
0,8,1,2,0.66
0,5,1,2,0.65
0,12,1,6,0.62
0,5,1,0,0.61
0,6,1,3,0.6
0,22,2,5,0.56
1,53,5,16,0.49
0,35,3,7,0.45
0,38,3,11,0.42
0,5,1,1,0.41
1,37,2,8,0.38
1,38,3,5,0.35
0,34,2,4,0.33
0,15,2,2,0.33
0,80,4,9,0.3
0,40,5,10,0.28
0,16,2,7,0.27
0,12,2,0,0.27
0,7,1,2,0.27
0,27,3,4,0.26
1,44,4,9,0.25
2,34,3,9,0.25
1,86,10,10,0.23
0,17,2,4,0.22
1,101,7,17,0.2
0,27,3,5,0.19
0,40,4,6,0.18
1,34,4,4,0.18
0,13,1,2,0.18
0,31,4,8,0.17
2,29,3,7,0.17
4,122,10,11,0.15
1,24,3,3,0.15
1,30,2,7,0.15
0,41,2,6,0.14
1,141,9,15,0.13
3,270,10,18,0.11
0,22,2,3,0.11
2,101,5,8,0.1
2,385,13,25,0.08
2,142,8,14,0.08
0,38,1,3,0.08
0,93,4,2,0.07
0,22,1,2,0.07
0,62,4,4,0.07
1,124,3,19,0.07
0,17,2,1,0.07
1,105,2,17,0.06
0,12,1,3,0.06
0,30,2,5,0.06
0,6,1,1,0.06
2,268,12,30,0.06
2,218,9,25,0.06
0,67,2,8,0.06
0,13,1,2,0.06
0,31,2,6,0.05
0,20,2,5,0.05
0,50,2,12,0.05
0,112,3,16,0.05
0,33,2,8,0.05
0,57,5,10,0.05
0,97,4,10,0.05
0,40,3,4,0.05
3,400,11,37,0.04
4,249,7,28,0.04
1,82,4,13,0.04
0,63,3,13,0.04
2,192,7,13,0.04
3,400,13,37,0.04
1,180,6,11,0.04
4,156,7,12,0.03
3,400,12,29,0.03
1,60,2,8,0.03
1,22,2,6,0.03
2,121,10,12,0.03
1,35,4,4,0.03
1,70,7,9,0.03
0,69,8,10,0.03
0,7,1,3,0.03
1,57,6,6,0.03
1,99,11,8,0.03
0,16,2,6,0.03
0,6,1,2,0.03
0,5,1,1,0.03
2,20,3,5,0.03
1,33,4,9,0.03
2,41,5,4,0.03
0,20,3,5,0.03
0,30,4,6,0.03
3,217,21,23,0.03
1,60,6,14,0.03
0,6,1,3,0.03
1,31,4,4,0.03
0,15,2,6,0.03
0,31,4,10,0.03
1,39,5,9,0.03
0,61,8,15,0.03
0,6,1,3,0.03
0,14,2,2,0.03
1,60,8,12,0.03
0,102,7,9,0.03
1,32,3,8,0.03
2,123,12,15,0.03
2,53,5,5,0.03
1,25,3,4,0.03
9,332,31,32,0.02
3,268,11,17,0.02
5,221,8,10,0.02
2,221,12,18,0.02
0,20,3,6,0.02
1,18,2,2,0.02
0,193,10,8,0.02
2,125,6,12,0.02
3,400,23,18,0.02
4,297,11,9,0.02
1,29,3,5,0.02
10,291,20,12,0.02
2,118,9,6,0.02
5,363,18,6,0.02
1,49,6,10,0.02
1,47,4,8,0.02
9,400,19,27,0.02
11,333,30,27,0.02
3,58,6,6,0.02
7,148,9,9,0.02
1,48,5,8,0.02
1,99,9,9,0.02
0,133,8,15,0.02
0,5,1,3,0.02
0,13,2,1,0.02
2,56,5,7,0.02
6,129,9,15,0.02
4,298,18,21,0.02
6,178,8,1,0.02
1,90,8,12,0.01
2,186,9,9,0.01
10,203,15,8,0.01
2,400,16,10,0.01
5,286,17,10,0.01
3,274,10,7,0.01
3,356,11,11,0.01
3,159,11,6,0.01
1,141,11,6,0.01
5,138,7,1,0.01
2,48,4,8,0.01
3,110,4,3,0.01
4,297,12,7,0.01
1,97,4,7,0.01
5,302,15,19,0.01
9,400,20,51,0.01
3,235,8,15,0.01
3,293,12,9,0.01
2,104,8,2,0.01
3,400,24,13,0.01
0,100,11,11,0.01
6,400,20,17,0.01
8,302,24,22,0.01
0,64,8,4,0.01
6,203,15,11,0.01
0,35,3,3,0.01
6,353,30,25,0.01
9,384,14,13,0.01
10,347,14,10,0.01
9,234,14,11,0.01
4,400,10,5,0.01
6,303,11,8,0.01
10,325,22,14,0.01
1,163,7,7,0.01
6,229,13,9,0.01
2,299,14,6,0.01
9,367,26,14,0.01
2,46,4,4,0.01
1,244,7,5,0.01
3,400,23,11,0.01
3,400,11,11,0.01
4,162,8,6,0.01
11,357,28,15,0.01
5,400,14,8,0.01
0,46,3,5,0.01
0,251,1,13,0.01
1,150,2,4,0.01
4,395,18,14,0.01
1,109,3,2,0.01
0,9,1,0,0.01
2,400,10,9,0.01
1,187,7,7,0.01
0,106,1,3,0.01
4,105,9,6,0.01
2,230,12,9,0.01
0,72,2,5,0.01
5,323,12,17,0.01
0,5,1,3,0.01
5,237,13,6,0.01
3,112,8,7,0.01
3,63,5,3,0.01
3,191,10,9,0.01
1,120,3,6,0.01
0,159,8,5,0.01
9,381,16,6,0.01
0,5,1,3,0.01
3,390,14,14,0.01
2,240,4,8,0.01
2,400,6,11,0.01
4,400,8,6,0.01
5,278,6,4,0.01
0,131,1,5,0.01
3,320,0,1,0.01
1,175,2,8,0.01
1,231,2,6,0.01
2,201,4,8,0.01
0,126,1,4,0.01
1,400,5,7,0.01
1,400,7,5,0.01
3,400,7,0,0.01
0,255,5,3,0.01
2,298,9,6,0.01
1,400,5,6,0.01
1,63,4,4,0.01
3,114,4,5,0.01
0,66,1,4,0.01
9,226,12,2,0.01
2,196,12,11,0.01
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,7,1,3,0.87
0,37,2,18,0.74
0,5,1,3,0.73
0,17,2,8,0.68
0,16,2,5,0.65
1,70,5,19,0.53
0,11,1,4,0.51
1,42,5,6,0.46
0,56,4,14,0.4
1,79,3,19,0.35
0,7,1,2,0.35
0,6,1,2,0.34
0,29,2,4,0.32
1,72,4,11,0.29
3,59,5,8,0.27
0,17,1,4,0.26
0,30,1,9,0.24
1,24,3,8,0.24
0,12,1,3,0.23
0,29,4,8,0.22
0,22,3,8,0.22
0,34,4,8,0.21
0,5,1,4,0.21
1,22,3,9,0.21
0,13,2,4,0.2
0,15,2,4,0.2
0,28,4,6,0.19
0,21,3,4,0.19
1,272,22,22,0.16
2,116,11,20,0.14
0,25,3,8,0.14
5,387,26,35,0.11
3,88,9,5,0.11
11,263,25,24,0.09
1,36,4,8,0.09
2,47,5,3,0.09
0,28,4,7,0.09
1,67,7,7,0.08
6,160,12,20,0.08
1,74,7,10,0.07
4,207,13,11,0.07
4,400,19,15,0.06
9,217,19,21,0.06
4,202,12,14,0.06
3,58,6,4,0.06
1,42,5,2,0.05
8,374,23,16,0.05
1,69,5,11,0.05
0,13,1,1,0.05
2,49,4,5,0.05
2,104,9,5,0.05
0,6,1,1,0.05
2,72,8,11,0.05
0,36,4,7,0.05
2,113,9,9,0.04
3,203,10,11,0.04
0,5,1,2,0.04
6,400,17,13,0.04
4,341,18,23,0.04
6,400,25,8,0.03
5,375,24,13,0.03
4,400,27,24,0.03
11,338,31,25,0.03
3,70,7,7,0.03
2,84,7,5,0.03
0,5,1,3,0.03
9,377,23,20,0.03
3,400,20,21,0.03
5,337,18,11,0.02
7,400,26,13,0.02
4,122,10,7,0.02
5,344,22,13,0.02
3,116,8,10,0.02
4,133,10,11,0.02
3,100,6,2,0.02
0,17,1,3,0.02
2,89,6,10,0.02
4,103,6,6,0.02
12,390,18,11,0.02
9,305,19,16,0.02
0,5,1,3,0.02
7,400,20,14,0.02
2,120,8,6,0.02
10,316,29,22,0.02
3,53,5,5,0.02
5,337,32,29,0.02
0,42,5,5,0.02
10,400,18,13,0.02
0,77,6,5,0.02
10,326,25,19,0.02
3,389,30,12,0.01
2,136,9,7,0.01
3,366,17,15,0.01
4,84,9,5,0.01
0,215,8,9,0.01
2,361,16,16,0.01
7,125,12,13,0.01
1,99,7,10,0.01
3,132,7,6,0.01
0,25,3,8,0.01
3,197,12,10,0.01
7,400,28,12,0.01
4,365,22,14,0.01
5,292,20,10,0.01
3,298,13,11,0.01
2,83,8,6,0.01
19,379,37,14,0.01
3,344,19,14,0.01
0,44,2,3,0.01
0,17,1,0,0.01
1,149,10,12,0.01
1,108,2,5,0.01
1,44,3,2,0.01
6,277,12,15,0.01
5,173,4,9,0.01
6,400,13,3,0.01
12,400,18,12,0.01
14,384,28,16,0.01
0,66,3,4,0.01
0,69,8,9,0.01
1,44,4,6,0.01
2,79,4,4,0.01
1,99,3,4,0.01
8,207,12,16,0.01
2,64,7,3,0.01
3,264,10,6,0.01
1,55,4,5,0.01
5,222,19,13,0.01
8,364,17,17,0.01
2,400,17,19,0.01
3,400,23,13,0.01
4,134,12,4,0.01
4,193,10,13,0.01
10,282,16,8,0.01
3,350,8,13,0.01
0,132,4,1,0.01
3,57,3,0,0.01
2,90,9,5,0.01
1,72,7,3,0.01
1,87,6,2,0.01
2,221,4,9,0.01
5,378,13,6,0.01
2,298,6,4,0.01
0,30,2,0,0.01
5,146,9,4,0.01
4,71,5,2,0.01
0,100,9,10,0.01
5,233,14,12,0.01
3,123,7,13,0.01
3,97,4,9,0.01
4,215,13,6,0.01
4,400,11,12,0.01
0,39,5,7,0.01
2,71,8,10,0.01
0,34,2,4,0.01
4,400,18,10,0.01
4,166,12,10,0.01
5,280,12,9,0.01
1,56,4,6,0.01
4,65,7,3,0.01
1,81,9,8,0.01
5,222,10,11,0.01
5,400,22,9,0.01
4,333,14,13,0.01
5,295,13,11,0.01
2,78,8,6,0.01
1,170,11,15,0.01
0,102,3,6,0.01
5,318,19,14,0.01
1,65,7,3,0.01
5,197,11,11,0.01
1,173,5,7,0.01
6,262,11,13,0.01
8,255,17,12,0.01
1,23,3,2,0.01
