Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,29,1,18,0.79
0,9,1,4,0.76
0,43,2,26,0.65
0,11,1,4,0.62
0,13,1,6,0.59
0,22,2,9,0.55
0,10,1,3,0.54
0,27,3,9,0.5
0,11,1,5,0.48
0,26,3,9,0.46
0,5,1,3,0.45
0,21,2,5,0.43
0,6,1,3,0.42
0,14,1,6,0.41
0,35,3,12,0.37
0,6,1,3,0.37
2,113,11,21,0.32
0,50,4,10,0.3
0,23,2,5,0.29
0,77,4,17,0.26
0,36,3,12,0.24
0,5,1,1,0.24
0,7,1,3,0.24
0,21,1,4,0.23
1,24,2,4,0.23
0,7,1,4,0.22
2,64,6,9,0.21
0,41,5,6,0.2
0,5,1,3,0.2
0,62,5,14,0.18
0,6,1,3,0.18
0,17,2,6,0.18
0,15,2,2,0.18
0,5,1,3,0.17
0,8,1,2,0.17
0,7,1,3,0.17
0,5,1,3,0.17
0,26,3,6,0.17
0,14,2,5,0.16
0,5,1,4,0.16
0,5,1,4,0.16
0,5,1,4,0.16
0,5,1,3,0.16
0,5,1,2,0.16
0,5,1,2,0.16
0,5,1,3,0.16
0,8,1,3,0.16
0,13,2,4,0.15
0,5,1,4,0.15
0,15,2,10,0.15
0,13,2,6,0.15
1,14,2,1,0.15
0,5,1,2,0.15
0,9,1,7,0.15
0,18,2,7,0.14
0,20,2,8,0.14
0,11,1,3,0.14
0,6,1,2,0.14
0,20,2,7,0.13
0,10,1,4,0.13
0,11,1,5,0.13
0,8,1,3,0.13
0,21,1,7,0.13
0,18,1,9,0.13
0,6,1,2,0.13
0,11,1,4,0.13
0,17,1,11,0.13
0,17,1,9,0.12
0,11,1,3,0.12
0,6,1,4,0.12
0,12,1,8,0.12
0,13,1,8,0.12
0,49,1,19,0.12
1,36,3,16,0.12
0,44,2,26,0.11
0,5,1,4,0.11
0,28,1,19,0.11
0,27,1,19,0.11
0,54,2,26,0.1
0,14,1,11,0.1
0,36,2,21,0.1
0,38,1,20,0.1
0,6,1,4,0.1
0,16,1,9,0.1
0,12,1,4,0.1
0,7,1,4,0.1
0,14,1,9,0.1
0,38,1,16,0.1
0,5,1,4,0.1
0,119,3,75,0.09
0,50,1,32,0.09
0,87,1,54,0.09
0,18,2,11,0.09
0,24,1,16,0.09
0,27,1,19,0.09
0,24,2,12,0.08
0,70,2,38,0.08
0,80,1,50,0.08
0,111,2,71,0.08
0,9,1,5,0.08
0,67,1,37,0.07
1,54,2,33,0.07
0,17,1,8,0.07
0,18,1,8,0.07
0,6,1,3,0.07
0,69,2,42,0.07
0,15,1,10,0.07
0,11,1,9,0.07
0,12,1,10,0.07
0,11,1,5,0.07
0,97,2,54,0.07
0,17,1,7,0.07
0,30,2,19,0.07
0,8,1,4,0.07
0,18,2,7,0.07
0,9,1,3,0.07
0,7,1,5,0.07
0,34,2,13,0.06
0,10,1,6,0.06
0,13,2,6,0.06
0,8,1,4,0.06
0,11,1,4,0.06
0,5,1,1,0.06
0,21,1,10,0.06
0,5,1,1,0.06
0,11,1,4,0.06
0,20,1,10,0.06
0,6,1,4,0.06
0,6,1,2,0.06
0,20,1,12,0.06
0,8,1,4,0.06
0,32,1,9,0.06
0,6,1,0,0.06
0,7,1,3,0.06
0,6,1,3,0.06
0,13,1,2,0.06
0,50,3,18,0.06
0,9,1,0,0.06
0,12,1,4,0.06
0,20,1,5,0.06
0,21,1,7,0.06
0,20,1,8,0.06
0,38,1,13,0.06
0,17,2,6,0.06
0,14,1,7,0.06
0,15,1,5,0.06
0,21,1,8,0.06
0,5,1,2,0.06
0,10,1,3,0.06
0,10,1,2,0.06
0,13,1,6,0.06
0,10,1,4,0.06
0,14,1,6,0.06
0,13,1,6,0.06
0,12,1,4,0.06
0,55,2,27,0.06
0,64,1,30,0.05
0,25,2,11,0.05
0,10,1,4,0.05
0,7,1,3,0.05
0,13,1,4,0.05
0,9,1,5,0.05
0,9,1,4,0.05
0,15,2,7,0.05
0,9,1,4,0.05
0,6,1,3,0.05
0,5,1,1,0.05
0,7,1,4,0.05
0,7,1,3,0.05
0,8,1,4,0.05
0,30,1,17,0.05
0,7,1,3,0.05
0,7,1,1,0.05
0,10,1,5,0.05
0,14,1,6,0.05
0,11,1,6,0.05
0,13,2,6,0.05
0,15,1,5,0.05
0,15,2,8,0.05
0,8,1,4,0.05
0,5,1,3,0.05
0,6,1,4,0.05
0,14,1,8,0.05
1,27,2,11,0.05
0,13,2,5,0.05
0,5,1,3,0.05
0,18,2,11,0.05
0,7,1,4,0.05
0,5,1,3,0.05
0,8,1,6,0.05
0,7,1,4,0.05
0,7,1,5,0.05
0,27,4,10,0.05
0,5,1,2,0.05
0,19,2,10,0.05
0,8,1,2,0.05
0,8,1,5,0.05
0,6,1,4,0.05
0,6,1,4,0.05
0,12,1,7,0.05
0,8,1,3,0.05
0,6,1,3,0.05
0,5,1,3,0.05
0,8,1,3,0.05
0,13,2,7,0.05
0,7,1,2,0.05
0,13,2,6,0.05
0,15,2,7,0.05
0,24,3,11,0.05
0,5,1,2,0.05
0,18,2,8,0.05
0,8,1,3,0.05
0,17,2,9,0.05
0,13,2,7,0.05
0,13,2,7,0.05
0,6,1,3,0.05
0,14,2,6,0.05
0,16,2,9,0.05
0,24,3,9,0.04
0,5,1,3,0.04
0,13,2,8,0.04
0,7,1,4,0.04
0,5,1,3,0.04
0,6,1,4,0.04
0,10,1,5,0.04
0,22,3,9,0.04
0,6,1,4,0.04
0,6,1,3,0.04
0,13,2,4,0.04
0,11,1,4,0.04
0,29,4,13,0.04
0,9,1,6,0.04
0,7,1,1,0.04
0,48,3,21,0.04
0,15,2,7,0.04
0,6,1,4,0.04
0,21,2,8,0.04
0,19,2,5,0.04
0,21,3,6,0.04
0,7,1,3,0.04
0,15,2,7,0.04
0,20,2,8,0.04
0,21,1,5,0.04
0,16,2,11,0.04
0,6,1,3,0.04
1,46,4,20,0.04
1,116,14,51,0.04
0,5,1,2,0.04
0,30,2,17,0.04
1,23,2,9,0.7
0,7,1,5,0.69
0,19,2,8,0.66
0,6,1,1,0.64
0,11,1,6,0.61
0,6,1,1,0.61
0,10,1,4,0.58
0,80,4,30,0.47
0,5,1,3,0.46
0,7,1,3,0.45
1,54,5,23,0.41
0,23,3,9,0.39
0,13,1,6,0.38
0,28,3,10,0.35
0,24,1,10,0.34
0,6,1,4,0.33
0,26,1,9,0.32
0,26,3,11,0.3
0,15,1,10,0.3
1,22,3,9,0.29
0,6,1,3,0.29
0,13,1,3,0.28
0,6,1,4,0.28
0,16,2,8,0.27
0,6,1,3,0.27
0,13,2,4,0.26
0,6,1,3,0.26
0,13,2,7,0.26
0,79,4,28,0.24
0,7,1,5,0.23
0,14,2,4,0.23
0,57,6,23,0.21
1,20,2,8,0.21
0,5,1,3,0.21
0,11,1,6,0.2
0,37,3,14,0.2
0,7,1,4,0.2
0,41,3,15,0.19
0,8,1,3,0.19
0,35,4,16,0.18
0,22,2,9,0.18
1,58,4,22,0.17
0,26,2,5,0.16
1,21,3,8,0.16
0,24,3,9,0.16
0,35,3,7,0.15
0,26,3,11,0.15
0,129,7,29,0.14
0,92,3,24,0.13
0,25,1,5,0.13
0,32,4,8,0.13
0,102,5,28,0.12
1,39,2,7,0.12
0,29,2,12,0.12
0,36,4,13,0.11
0,19,2,9,0.11
0,14,1,4,0.11
0,26,3,10,0.11
0,17,2,9,0.11
0,10,1,4,0.11
2,56,5,12,0.11
1,55,6,17,0.1
0,18,2,11,0.1
0,59,4,16,0.1
0,137,3,42,0.09
0,7,1,5,0.09
0,224,4,53,0.08
1,132,7,32,0.08
0,106,3,30,0.07
0,62,2,16,0.07
0,51,1,20,0.07
0,55,1,16,0.07
0,44,2,18,0.07
0,59,2,26,0.07
0,28,2,3,0.06
0,38,1,15,0.06
0,101,4,22,0.06
0,123,3,38,0.06
0,123,5,27,0.05
0,224,5,62,0.05
2,68,5,17,0.05
0,18,2,9,0.05
0,52,2,23,0.05
0,228,3,64,0.05
0,5,1,3,0.05
1,295,10,50,0.05
1,84,3,24,0.04
1,94,5,30,0.04
0,158,4,39,0.04
0,106,2,22,0.04
0,44,1,14,0.04
2,142,8,45,0.04
0,129,3,52,0.04
1,131,2,42,0.04
0,17,1,7,0.04
0,163,4,67,0.04
0,95,6,31,0.04
0,18,1,8,0.04
0,5,1,2,0.04
0,48,4,19,0.03
0,16,1,6,0.03
0,59,4,17,0.03
0,30,1,20,0.03
0,38,3,17,0.03
0,51,3,21,0.03
1,39,3,15,0.03
0,13,1,6,0.03
0,78,4,31,0.03
0,18,1,9,0.03
0,44,1,16,0.03
1,56,3,24,0.03
1,56,3,14,0.03
0,17,1,5,0.03
0,49,3,14,0.03
0,13,1,5,0.03
0,48,4,12,0.03
0,38,2,13,0.03
1,63,3,26,0.03
0,46,3,16,0.03
0,103,4,35,0.03
1,87,2,22,0.03
0,174,4,37,0.03
1,188,5,50,0.03
0,189,4,44,0.03
0,59,3,4,0.03
0,120,5,34,0.03
0,90,1,21,0.03
4,400,20,50,0.03
2,160,5,34,0.02
0,21,2,3,0.02
4,372,7,58,0.02
1,125,8,34,0.02
3,400,9,96,0.02
0,250,3,36,0.02
0,400,3,66,0.02
1,400,7,72,0.02
0,103,3,28,0.02
1,113,5,20,0.02
0,8,1,3,0.02
0,21,2,7,0.02
0,138,9,29,0.02
1,51,3,12,0.02
0,62,4,14,0.02
2,160,8,29,0.02
1,65,4,16,0.02
4,319,17,42,0.02
1,108,5,22,0.02
0,400,3,88,0.02
1,110,3,14,0.02
0,44,2,11,0.02
0,246,5,28,0.02
3,227,12,46,0.02
0,62,1,13,0.02
1,400,17,64,0.01
4,242,9,42,0.01
1,63,3,18,0.01
0,7,1,2,0.01
1,205,11,31,0.01
0,24,3,5,0.01
2,177,6,21,0.01
5,318,15,35,0.01
0,5,1,3,0.01
0,59,3,14,0.01
0,97,4,22,0.01
0,15,1,5,0.01
0,50,5,14,0.01
0,24,2,5,0.01
0,24,2,3,0.01
4,163,13,22,0.01
1,119,9,20,0.01
0,9,1,2,0.01
1,64,7,20,0.01
0,27,3,6,0.01
1,241,12,34,0.01
0,159,6,18,0.01
1,67,7,14,0.01
2,138,5,12,0.01
4,176,15,27,0.01
1,58,6,12,0.01
0,73,5,15,0.01
0,102,4,8,0.01
0,35,3,10,0.01
1,124,9,10,0.01
0,56,4,10,0.01
1,28,3,7,0.01
3,49,5,12,0.01
0,19,1,3,0.01
0,44,4,2,0.01
3,374,26,40,0.01
0,43,3,8,0.01
0,32,3,2,0.01
0,7,1,2,0.01
0,38,3,6,0.01
1,39,5,9,0.01
0,27,3,6,0.01
0,44,4,6,0.01
1,74,8,14,0.01
0,255,17,27,0.01
0,32,3,6,0.01
4,85,7,15,0.01
0,9,1,3,0.01
6,329,28,39,0.01
2,105,9,16,0.01
0,36,3,9,0.01
3,95,9,17,0.01
6,370,27,39,0.01
1,45,3,9,0.01
0,57,4,11,0.01
3,116,10,21,0.01
2,117,13,13,0.01
0,42,5,7,0.01
2,118,4,17,0.01
5,317,17,28,0.01
4,125,9,13,0.01
0,45,2,3,0.01
0,23,3,4,0.01
2,127,11,15,0.01
0,43,4,8,0.01
0,20,2,7,0.01
5,202,19,21,0.01
3,101,9,11,0.01
0,106,9,14,0.01
8,400,29,30,0.01
1,198,11,13,0.01
4,187,11,17,0.01
0,53,3,3,0.01
2,198,13,24,0.01
