Score,Steps,Bombs_placed,Invalid_moves,Epsilon
2,22,1,9,0.83
0,9,1,5,0.81
1,15,1,6,0.76
1,6,1,4,0.74
1,12,1,7,0.71
0,12,1,7,0.68
1,11,1,5,0.66
2,9,1,1,0.64
0,5,1,4,0.63
1,8,1,2,0.61
1,9,1,5,0.6
1,5,1,3,0.58
0,6,1,1,0.58
0,5,1,2,0.57
1,10,1,4,0.55
1,5,1,1,0.54
2,17,1,5,0.52
7,24,2,9,0.5
0,8,1,3,0.49
2,17,1,3,0.47
1,7,1,4,0.46
2,5,1,3,0.46
3,10,1,5,0.45
0,10,1,2,0.44
0,11,1,5,0.43
3,9,1,3,0.42
0,5,1,2,0.42
3,22,2,10,0.4
1,8,1,3,0.4
0,6,1,3,0.39
1,20,1,7,0.38
1,11,1,3,0.37
1,10,1,4,0.36
2,5,1,1,0.35
1,20,2,6,0.34
1,6,1,2,0.34
1,11,1,4,0.33
2,8,1,4,0.32
0,5,1,3,0.32
1,11,1,5,0.32
2,17,1,9,0.31
1,5,1,2,0.31
3,12,1,3,0.3
0,12,1,8,0.3
1,6,1,3,0.3
2,6,1,2,0.3
1,14,1,4,0.29
1,5,1,3,0.29
1,7,1,4,0.29
0,6,1,3,0.28
1,17,1,9,0.27
0,21,2,14,0.27
2,14,1,5,0.26
2,7,1,3,0.26
1,53,3,15,0.24
1,11,1,3,0.24
2,8,1,1,0.23
2,25,1,9,0.23
10,112,2,32,0.2
4,38,1,15,0.19
1,16,1,7,0.19
0,5,1,2,0.19
3,29,1,8,0.18
1,20,1,8,0.18
0,23,1,7,0.17
1,20,1,7,0.17
2,49,1,15,0.17
15,238,4,86,0.13
8,175,4,44,0.12
5,118,2,47,0.11
9,104,1,33,0.1
2,48,1,20,0.1
2,29,1,10,0.1
17,230,3,77,0.09
7,106,1,33,0.08
6,141,2,43,0.08
2,41,1,18,0.08
1,93,1,36,0.08
14,164,2,36,0.07
12,275,1,93,0.06
5,111,1,50,0.06
16,323,1,87,0.06
15,400,0,133,0.05
1,5,1,3,0.05
5,86,1,30,0.05
2,113,1,45,0.05
2,22,1,12,0.05
2,84,1,40,0.04
9,178,1,69,0.04
11,147,1,57,0.04
2,5,1,1,0.04
0,24,1,9,0.04
3,71,1,22,0.04
0,15,1,7,0.04
8,119,1,34,0.04
2,19,1,14,0.04
15,400,0,156,0.04
0,57,1,35,0.04
3,52,1,25,0.04
1,22,1,11,0.04
6,375,1,253,0.03
0,38,1,32,0.03
0,6,1,5,0.03
1,118,1,99,0.03
3,400,0,373,0.03
3,81,1,67,0.03
3,400,2,321,0.03
1,113,1,85,0.03
6,400,0,291,0.03
5,306,1,211,0.03
4,400,1,276,0.03
0,41,1,26,0.03
0,55,1,36,0.03
8,400,0,259,0.02
12,400,2,252,0.02
5,137,1,97,0.02
13,380,1,239,0.02
5,140,1,80,0.02
4,364,2,162,0.02
21,400,0,99,0.02
6,146,1,20,0.02
21,400,0,18,0.02
3,19,1,3,0.02
6,114,1,2,0.02
19,400,0,3,0.02
18,90,1,1,0.02
20,400,1,7,0.02
9,141,1,7,0.02
1,22,1,1,0.02
14,168,1,2,0.02
2,16,1,3,0.02
20,273,2,1,0.02
28,400,0,2,0.02
2,96,1,2,0.01
24,341,1,1,0.01
18,230,1,0,0.01
31,400,0,0,0.01
15,127,1,3,0.01
25,400,0,0,0.01
19,186,1,0,0.01
26,400,0,1,0.01
20,187,1,3,0.01
13,152,1,0,0.01
24,400,0,0,0.01
28,400,0,1,0.01
12,78,1,2,0.01
8,120,1,4,0.01
24,400,0,0,0.01
28,400,0,2,0.01
26,400,2,4,0.01
25,400,2,1,0.01
30,305,1,3,0.01
18,400,0,3,0.01
18,400,0,15,0.01
28,400,1,21,0.01
9,227,1,8,0.01
13,400,0,24,0.01
13,238,1,16,0.01
12,234,1,7,0.01
11,203,1,6,0.01
5,168,1,10,0.01
33,400,0,7,0.01
11,400,0,4,0.01
14,400,0,4,0.01
6,110,1,4,0.01
19,400,0,5,0.01
11,345,1,6,0.01
28,400,0,4,0.01
35,400,0,6,0.01
37,400,0,2,0.01
18,311,1,2,0.01
3,48,1,0,0.01
27,273,1,2,0.01
29,400,0,0,0.01
36,400,0,3,0.01
22,400,0,3,0.01
33,400,1,1,0.01
25,176,1,2,0.01
34,400,0,1,0.01
45,400,0,0,0.01
39,400,0,1,0.01
44,400,0,1,0.01
42,318,3,2,0.01
31,195,1,1,0.01
6,31,1,0,0.01
47,400,0,1,0.01
49,349,1,2,0.01
49,304,0,1,0.01
44,400,2,1,0.01
48,400,0,1,0.01
49,301,0,2,0.01
49,400,0,0,0.01
49,309,0,2,0.01
35,240,1,4,0.01
44,400,0,1,0.01
49,380,0,0,0.01
37,338,2,2,0.01
46,400,1,2,0.01
46,400,2,0,0.01
42,246,2,2,0.01
49,242,0,0,0.01
49,379,0,2,0.01
12,34,1,0,0.01
49,308,0,0,0.01
49,264,0,0,0.01
49,240,0,0,0.01
49,283,0,0,0.01
49,260,0,0,0.01
49,284,0,0,0.01
49,313,0,0,0.01
49,263,0,0,0.01
49,253,0,0,0.01
49,272,0,14,0.01
49,273,0,0,0.01
49,276,0,1,0.01
38,137,1,0,0.01
49,232,0,1,0.01
49,196,0,2,0.01
49,213,0,2,0.01
49,154,0,1,0.01
19,63,1,1,0.01
49,176,1,1,0.01
49,180,0,0,0.01
49,176,0,0,0.01
49,172,0,1,0.01
49,185,0,0,0.01
49,172,0,0,0.01
49,179,0,1,0.01
49,185,0,0,0.01
49,172,0,1,0.01
49,166,0,0,0.01
45,143,1,2,0.01
49,183,1,1,0.01
7,19,1,0,0.01
49,157,0,0,0.01
49,181,0,1,0.01
49,170,0,0,0.01
49,194,1,1,0.01
8,26,1,1,0.01
49,164,0,0,0.01
49,194,0,0,0.01
49,165,1,0,0.01
32,114,1,1,0.01
49,166,1,0,0.01
49,230,0,1,0.01
49,185,0,1,0.01
49,190,1,0,0.01
49,181,0,2,0.01
49,161,0,0,0.01
49,191,0,0,0.01
49,232,1,3,0.01
46,167,1,1,0.01
49,176,0,2,0.01
49,161,0,3,0.01
49,182,0,1,0.01
49,144,0,0,0.01
49,140,0,0,0.01
49,158,0,0,0.01
49,161,0,0,0.01
49,152,0,2,0.01
49,146,0,0,0.01
49,145,0,0,0.01
49,134,0,0,0.01
49,155,0,0,0.01
5,13,1,2,0.01
49,166,0,3,0.01
49,154,0,1,0.01
49,153,1,3,0.01
49,173,0,10,0.01
49,216,0,6,0.01
49,181,2,3,0.01
49,168,0,2,0.01
36,102,1,3,0.01
49,166,0,6,0.01
49,157,0,1,0.01
45,145,1,2,0.01
28,74,1,1,0.01
49,165,1,0,0.01
49,162,0,1,0.01
49,150,0,0,0.01
49,153,2,0,0.01
49,149,0,1,0.01
49,149,0,4,0.01
49,157,0,0,0.01
49,175,0,1,0.01
49,140,0,1,0.01
49,166,1,0,0.01
49,150,1,2,0.01
49,157,0,3,0.01
49,161,0,5,0.01
49,163,1,1,0.01
49,141,0,0,0.01
49,172,0,7,0.01
49,177,2,5,0.01
49,154,0,7,0.01
49,186,0,9,0.01
49,166,0,3,0.01
49,150,0,4,0.01
49,162,0,5,0.01
49,145,0,4,0.01
49,164,0,3,0.01
49,149,0,0,0.01
49,149,0,2,0.01
49,149,0,1,0.01
49,128,0,1,0.01
49,132,0,1,0.01
49,136,0,0,0.01
49,118,0,3,0.01
49,148,0,1,0.01
49,143,0,0,0.01
49,124,0,0,0.01
49,146,1,1,0.01
49,148,0,0,0.01
49,136,0,1,0.01
9,30,1,1,0.01
49,139,0,2,0.01
49,145,0,1,0.01
49,142,0,0,0.01
49,140,0,1,0.01
49,131,1,1,0.01
49,127,0,0,0.01
49,149,0,1,0.01
42,96,1,1,0.01
35,85,1,0,0.01
49,138,0,0,0.01
49,125,0,0,0.01
23,46,1,1,0.01
22,60,1,1,0.01
49,111,0,0,0.01
49,125,0,0,0.01
49,124,0,0,0.01
49,146,0,0,0.01
49,120,0,2,0.01
49,135,0,0,0.01
49,131,0,1,0.01
49,124,1,0,0.01
49,128,0,0,0.01
49,135,1,1,0.01
45,108,1,1,0.01
49,136,0,1,0.01
49,129,0,0,0.01
49,128,0,0,0.01
49,143,1,1,0.01
49,117,0,0,0.01
49,122,0,0,0.01
49,131,1,0,0.01
49,135,0,1,0.01
49,126,1,0,0.01
49,130,0,0,0.01
49,127,0,0,0.01
49,118,0,1,0.01
