Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,21,1,8,0.82
0,6,1,4,0.8
0,17,2,5,0.76
0,11,1,7,0.72
0,11,1,0,0.7
0,5,1,3,0.69
0,9,1,2,0.67
0,5,1,1,0.66
0,5,1,3,0.64
0,9,1,4,0.62
0,13,2,3,0.59
0,9,1,3,0.58
0,7,1,1,0.57
0,8,1,3,0.55
0,18,1,6,0.53
0,23,1,11,0.49
0,31,1,6,0.46
0,17,1,5,0.44
0,26,1,4,0.42
0,8,1,3,0.41
0,5,1,1,0.41
0,8,1,3,0.4
0,23,1,8,0.38
0,5,1,3,0.38
0,32,1,5,0.36
0,50,1,12,0.34
0,29,1,4,0.33
0,15,1,3,0.32
0,29,1,2,0.3
0,44,2,6,0.29
2,34,2,3,0.27
0,42,1,6,0.26
5,91,4,16,0.22
0,43,2,5,0.21
0,79,2,4,0.2
3,82,3,6,0.18
0,20,1,4,0.18
0,10,1,3,0.18
0,9,1,3,0.18
0,50,1,4,0.17
0,9,1,3,0.17
0,51,1,8,0.16
0,50,1,7,0.15
1,58,2,10,0.14
0,75,1,7,0.14
0,58,1,7,0.13
0,10,1,4,0.13
0,11,1,4,0.13
0,11,1,3,0.13
0,50,1,9,0.12
0,39,1,7,0.12
0,92,1,13,0.11
0,208,1,33,0.1
0,69,1,10,0.09
0,40,1,9,0.09
0,16,1,6,0.09
0,185,1,39,0.09
0,35,1,11,0.08
0,16,1,6,0.08
0,6,1,1,0.08
0,90,1,29,0.08
0,37,1,12,0.08
0,102,1,29,0.07
0,38,1,11,0.07
0,93,1,40,0.07
2,123,2,40,0.07
0,34,1,12,0.07
0,223,1,78,0.06
0,97,1,53,0.06
0,54,1,34,0.06
0,14,1,6,0.06
0,209,2,36,0.05
0,45,1,14,0.05
0,9,1,2,0.05
0,75,2,26,0.05
0,250,1,96,0.05
0,58,1,14,0.05
0,93,1,44,0.05
0,10,1,4,0.05
0,80,2,33,0.05
0,116,1,41,0.05
0,76,1,24,0.05
0,226,1,93,0.04
0,95,1,17,0.04
0,148,1,46,0.04
0,45,1,8,0.04
0,62,1,22,0.04
0,163,1,45,0.04
0,133,1,31,0.04
0,400,0,127,0.04
1,136,2,31,0.03
3,143,3,26,0.03
0,331,1,45,0.03
0,34,1,7,0.03
0,100,1,38,0.03
0,268,1,72,0.03
0,146,1,16,0.03
0,388,2,24,0.03
1,118,2,48,0.03
0,254,1,42,0.03
0,400,0,73,0.02
0,400,0,222,0.02
0,331,1,14,0.02
3,400,1,20,0.02
0,400,0,175,0.02
2,55,2,20,0.02
0,144,1,27,0.02
0,400,0,18,0.02
0,386,1,28,0.02
0,323,1,36,0.02
0,400,0,17,0.02
0,400,0,36,0.02
0,269,1,59,0.02
0,65,1,4,0.02
0,325,1,19,0.02
0,61,1,2,0.02
0,218,1,19,0.02
1,384,2,196,0.01
