Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,7,1,4,0.87
0,7,1,2,0.84
0,17,2,7,0.79
0,6,1,1,0.77
0,21,1,8,0.7
0,5,1,3,0.69
0,10,1,3,0.67
0,25,3,8,0.62
0,37,2,13,0.55
0,19,2,6,0.52
0,14,1,1,0.5
1,50,5,15,0.44
0,25,3,8,0.42
4,78,6,11,0.37
0,12,1,4,0.36
0,6,1,3,0.35
0,6,1,3,0.34
0,17,2,2,0.34
0,9,1,4,0.33
0,13,2,0,0.32
1,50,4,10,0.29
0,51,5,9,0.27
0,28,3,9,0.26
2,104,8,15,0.23
0,56,5,15,0.21
0,76,2,11,0.2
0,72,3,7,0.19
3,75,7,4,0.18
1,47,4,3,0.17
0,53,3,6,0.17
0,9,1,0,0.16
2,99,8,7,0.15
2,126,8,16,0.14
0,14,1,3,0.13
2,98,7,8,0.13
2,81,7,3,0.12
4,145,7,14,0.11
1,40,5,2,0.11
2,204,7,13,0.1
2,251,15,22,0.09
1,73,5,1,0.08
3,88,8,3,0.08
1,63,7,9,0.08
2,118,6,9,0.07
2,113,8,6,0.07
2,40,4,5,0.07
1,95,7,4,0.07
8,120,5,10,0.07
3,139,10,9,0.06
0,62,3,10,0.06
4,251,7,19,0.06
2,80,7,8,0.06
3,268,12,11,0.05
3,248,8,21,0.05
3,185,9,11,0.05
3,120,6,6,0.04
2,116,7,9,0.04
8,400,13,27,0.04
0,46,3,8,0.04
0,105,5,20,0.04
1,48,3,9,0.04
0,79,5,7,0.04
1,133,6,15,0.04
2,59,5,8,0.04
2,124,9,11,0.04
2,400,17,27,0.03
5,298,16,20,0.03
2,83,7,13,0.03
2,150,9,14,0.03
0,14,2,2,0.03
0,11,1,2,0.03
2,39,4,4,0.03
3,108,10,7,0.03
7,122,7,12,0.03
0,13,2,3,0.03
10,200,15,24,0.03
4,205,15,19,0.03
0,20,3,2,0.03
0,20,3,6,0.03
2,247,20,16,0.03
0,13,2,8,0.03
0,29,4,5,0.03
2,73,7,13,0.03
4,92,10,16,0.03
0,21,3,10,0.03
4,371,31,33,0.02
2,86,9,6,0.02
0,71,6,10,0.02
5,109,12,12,0.02
2,93,9,6,0.02
