Score,Steps,Bombs_placed,Invalid_moves,Epsilon
1,8,1,3,0.87
1,19,1,7,0.8
0,11,1,6,0.77
3,26,1,10,0.7
0,8,1,1,0.68
1,11,1,3,0.65
0,8,1,3,0.63
1,5,1,2,0.62
4,35,2,15,0.56
1,12,1,7,0.54
0,9,1,6,0.53
1,16,1,5,0.51
2,14,1,6,0.49
1,6,1,4,0.49
0,6,1,2,0.48
2,11,1,4,0.46
2,29,1,11,0.44
0,15,1,9,0.43
0,48,1,14,0.39
1,7,1,2,0.38
1,12,1,7,0.38
0,12,1,6,0.37
0,6,1,3,0.37
0,7,1,6,0.36
1,33,1,16,0.34
0,7,1,2,0.33
1,14,1,4,0.32
2,50,1,26,0.3
1,27,1,7,0.29
0,7,1,4,0.29
0,12,1,8,0.28
0,5,1,4,0.28
0,9,1,5,0.27
4,67,1,19,0.25
1,5,1,3,0.25
0,6,1,1,0.24
7,87,1,32,0.22
4,63,1,23,0.2
1,20,1,10,0.2
3,67,2,26,0.19
5,51,1,20,0.18
7,70,2,25,0.17
5,82,1,31,0.16
4,28,1,9,0.16
6,121,2,54,0.14
3,37,1,14,0.14
0,9,1,3,0.14
2,20,1,2,0.14
9,215,1,65,0.12
0,13,1,8,0.12
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
0,8,1,3,0.87
0,5,1,1,0.85
2,15,1,3,0.79
1,11,1,6,0.76
2,39,1,14,0.66
1,7,1,5,0.65
3,46,2,11,0.58
0,7,1,4,0.57
0,8,1,3,0.56
2,20,1,5,0.53
2,26,1,10,0.52
0,7,1,3,0.5
0,11,1,2,0.49
1,11,1,3,0.48
0,5,1,3,0.47
0,6,1,4,0.46
1,14,1,6,0.45
1,11,1,4,0.44
0,9,1,4,0.43
0,6,1,1,0.42
1,70,2,23,0.37
2,28,1,10,0.34
1,11,1,3,0.33
0,10,1,2,0.33
0,10,1,2,0.32
1,16,1,4,0.31
2,7,1,2,0.3
3,33,1,5,0.29
1,18,1,4,0.29
0,6,1,4,0.29
0,20,1,5,0.28
0,7,1,4,0.27
3,46,2,19,0.25
3,49,1,19,0.24
3,105,1,36,0.21
10,48,1,15,0.2
3,58,1,31,0.2
2,25,2,13,0.19
1,15,1,8,0.19
5,88,1,37,0.17
4,44,1,16,0.16
3,16,1,5,0.16
2,11,1,5,0.16
7,47,1,15,0.15
23,272,5,87,0.13
1,7,1,3,0.13
1,22,1,11,0.13
14,397,6,139,0.1
1,33,1,7,0.1
10,137,2,47,0.09
4,41,1,16,0.09
3,48,1,24,0.09
18,150,1,50,0.08
2,47,1,24,0.08
11,93,1,41,0.07
4,31,1,12,0.07
10,103,1,30,0.07
2,61,1,11,0.07
27,296,2,57,0.06
4,39,1,7,0.06
2,13,1,5,0.06
5,36,1,5,0.06
16,125,2,7,0.06
7,54,1,3,0.05
